"Time","T0104","","T0104","","T0104","","T0104","","T0104","","T0104","","T0104",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umidita' aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 29/11/2009,         6.6,      1,        -2.6,      1,        92.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 30/11/2009,        71.4,      1,        -0.8,      1,       100.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 01/12/2009,        10.2,      1,        -4.1,      1,        99.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 02/12/2009,         0.0,      1,        -6.4,      1,        93.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 03/12/2009,         0.0,      1,        -4.7,      1,        54.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 04/12/2009,        10.8,      1,        -4.9,      1,        94.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 05/12/2009,         0.8,      1,        -3.4,      1,        98.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 06/12/2009,         0.0,      1,        -0.9,      1,        57.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 07/12/2009,         3.6,      1,         0.0,      1,        71.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 08/12/2009,         4.8,      1,        -2.5,      1,        86.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 09/12/2009,         0.0,      1,        -4.0,      1,        57.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 10/12/2009,         0.0,      1,         0.1,      1,        51.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 11/12/2009,         0.0,      1,        -4.5,      1,        57.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 12/12/2009,         0.0,      1,        -7.1,      1,        68.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 13/12/2009,         0.0,      1,       -10.0,      1,        91.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 14/12/2009,         0.2,      1,        -8.7,      1,        79.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 15/12/2009,         0.0,      1,       -10.3,      1,        73.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 16/12/2009,         0.0,      1,       -11.8,      1,        76.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 17/12/2009,         0.0,      1,       -13.4,      1,        64.3,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 18/12/2009,         0.0,      1,       -16.0,      1,        54.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 19/12/2009,         1.8,      1,       -16.0,      1,        80.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 20/12/2009,         0.0,      1,       -16.0,      1,        51.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 21/12/2009,         0.8,      1,       -10.6,      1,        79.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 22/12/2009,         1.8,    140,        -3.5,      1,        99.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 23/12/2009,         3.0,    140,        -0.9,      1,        96.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 24/12/2009,        14.5,    140,        -0.2,      1,       100.0,      1,"",    151,"",    151,"",    255,"",    255
